"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","FIDESZ_egy","MSZP_egy","JOBBIK_egy","LMP_egy","MAS_egy","FIDESZ_egy_pct","MSZP_egy_pct","JOBBIK_egy_pct","LMP_egy_pct","MAS_egy_pct","FIDESZ_lst","MSZP_lst","JOBBIK_lst","LMP_lst","MAS_lst","FIDESZ_lst_pct","MSZP_lst_pct","JOBBIK_lst_pct","LMP_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","MSZP_egy_jlt","JOBBIK_egy_jlt","LMP_egy_jlt","winner","dev_lst_egy"
"1","BARANYA",1,"Pécs",78831,1509,428,80768,49518,1710,51228,0.6343,51172,469,0.0092,50703,18855,16706,8379,4489,2274,0.3719,0.3295,0.1653,0.0885,0.0448494171942489,18466,16397,8635,4635,2301,0.366141888408613,0.325117975968593,0.171213863663402,0.0919022881389539,0.0456239838204386,"Csizi Péter","Dr. Tóth Bertalan","Németh Zsolt","Dr. Kóbor József","FIDESZ_egy",0.00575811159138678
"2","BARANYA",2,"Pécs",78879,1134,279,80292,47408,1238,48646,0.6059,48585,570,0.0117,48015,17413,15334,9931,3650,1687,0.3627,0.3194,0.2068,0.076,0.0351348536915547,16842,15091,9897,3595,2016,0.35500938007209,0.318100377310765,0.208617019034169,0.0757783351952952,0.0424948883876815,"Dr. Hoppál Péter Tamás","Dr. Szakács László","Gyimesi Gábor Jenõ","Dr. Keresztes László Lóránt","FIDESZ_egy",0.00769061992791048
"3","BARANYA",3,"Mohács",74934,830,190,75954,42834,919,43753,0.576,43685,662,0.0152,43023,21625,8983,8137,1890,2388,0.5026,0.2088,0.1891,0.0439,0.0555051948957534,20074,8842,8301,1729,1562,0.495556433297127,0.21827787103782,0.204922484447517,0.0426829268292683,0.038560284388269,"Dr. Hargitai János György","Loschán Ferenc","Szõcs Norbert","Hartweg Ildikó Anna","FIDESZ_egy",0.00704356670287354
"4","BARANYA",4,"Szigetvár",79288,852,124,80264,44347,848,45195,0.5631,45151,750,0.0166,44401,19563,12131,9081,1439,2187,0.4406,0.2732,0.2045,0.0324,0.0492556473953289,19388,10949,9519,1602,1849,0.447687440829427,0.252822869282102,0.21980280324197,0.0369917103470571,0.0426951762994435,"Tiffán Zsolt","Nagy Attila","Vida Dezsõ Zoltán","Angyal Károly Tibor","FIDESZ_egy",-0.00708744082942714
"5","BORSOD–ABAÚJ–ZEMPLÉN",1,"Miskolc",77544,1290,239,79073,48486,1339,49825,0.6301,49740,449,0.009,49291,16602,14072,15050,1624,1943,0.3368,0.2855,0.3053,0.0329,0.0394189608650666,16928,14068,14447,1870,2020,0.343137453631443,0.285164088946547,0.292846573287657,0.03790566152474,0.0409462226096122,"Csöbör Katalin","Nagy-Korsa Judit Anna","Badány Lajos","Emõdi Zoltán","FIDESZ_egy",-0.00633745363144345
"6","BORSOD–ABAÚJ–ZEMPLÉN",2,"Miskolc",75466,1219,255,76940,46356,1282,47638,0.6192,47596,456,0.0096,47140,14560,14798,14425,1555,1802,0.3089,0.3139,0.306,0.033,0.0382265591854052,15363,14316,13692,1906,1897,0.325666680798745,0.303472251664052,0.290244626277187,0.0404036121592403,0.0402128291007759,"Sebestyén László","Dr. Varga László","Pakusza Zoltán","Mile Lajos","MSZP_egy",-0.016766680798745
"7","BORSOD–ABAÚJ–ZEMPLÉN",3,"Ózd",76265,1152,98,77515,40453,1077,41530,0.5358,41511,531,0.0128,40980,15473,10146,12148,612,2601,0.3776,0.2476,0.2964,0.0149,0.0634699853587116,15789,10428,12378,772,1642,0.38501304591675,0.254285644614597,0.301836182301446,0.018825135945768,0.0400399912214392,"Riz Gábor","Nyakó István","Egyed Zsolt","Szilágyi Imre","FIDESZ_egy",-0.00741304591675002
"8","BORSOD–ABAÚJ–ZEMPLÉN",4,"Kazincbarcika",79128,1095,106,80329,44663,1084,45747,0.5695,45725,773,0.0169,44952,16696,12563,12500,859,2334,0.3714,0.2795,0.2781,0.0191,0.051922050186866,16709,11880,13373,1054,1948,0.371608397829375,0.264211369095276,0.297415710346055,0.023440975002224,0.0433235477270705,"Demeter Zoltán","Klimon István","Miklós Árpád","Gulyás Pál","FIDESZ_egy",-0.000208397829374596
"9","BORSOD–ABAÚJ–ZEMPLÉN",5,"Sátoraljaújhely",78224,1624,108,79956,42952,1529,44481,0.5563,44473,685,0.0154,43788,19932,9566,11561,1045,1684,0.4552,0.2185,0.264,0.0239,0.0384580250296885,19369,9589,11711,1044,1681,0.446352030234595,0.220975250034567,0.269876019726229,0.0240586256164447,0.0387380743881643,"Dr. Hörcsik Richárd","Vécsi István","Pasztorniczky István","Dr. Tóth István","FIDESZ_egy",0.00884796976540536
"10","BORSOD–ABAÚJ–ZEMPLÉN",6,"Tiszaújváros",79749,1220,151,81120,46821,1195,48016,0.5919,47984,622,0.013,47362,19149,11133,14009,1211,1860,0.4043,0.2351,0.2958,0.0256,0.0392719902031164,19030,10701,14418,1451,1657,0.402691664726919,0.226442643417906,0.305097657489896,0.0307044459021944,0.0350635884630848,"Dr. Mengyi Roland","Pap Zsolt","Balla Gergõ","Dr. Tarnai Gábor Elemér","FIDESZ_egy",0.00160833527308124
"11","BORSOD–ABAÚJ–ZEMPLÉN",7,"Mezõkövesd",77540,1071,136,78747,46484,1047,47531,0.6036,47514,637,0.0134,46877,22124,8894,12829,917,2113,0.472,0.1897,0.2737,0.0196,0.0450754101158351,20522,8839,14498,1253,1765,0.437783987883184,0.188557288222369,0.309277470827911,0.0267295262068818,0.037651726859654,"Tállai András László","Nyeste László","Dr. Bóta Mihály","Vajda Béla","FIDESZ_egy",0.0342160121168163
"12","BUDAPEST",1,"Budapest V.ker.",64579,1497,1116,67192,45655,2401,48056,0.7152,47977,499,0.0104,47478,21503,15459,3713,6482,321,0.4529,0.3256,0.0782,0.1365,0.00676102615948439,21073,15967,3764,5438,1409,0.442236259469896,0.335082159870727,0.0789909970409855,0.114121424524144,0.0295691590942478,"Rogán Antal","Kerék-Bárczy Szabolcs","Hegedûs Lóránt Gézáné","Schiffer András","FIDESZ_egy",0.0106637405301043
"13","BUDAPEST",2,"Budapest XI.ker.",69875,1190,892,71957,52248,1870,54118,0.7521,54096,581,0.0107,53515,23963,19643,4291,4615,1003,0.4478,0.3671,0.0802,0.0862,0.0187424086704662,23136,19042,4251,5408,1645,0.43259414382409,0.356045024494222,0.0794846864365581,0.101118133203695,0.0307580120414345,"Dr. Simicskó István","Dr. Józsa István","Novák Elõd Attila","Csárdi Antal","FIDESZ_egy",0.0152058561759096
"14","BUDAPEST",3,"Budapest XII.ker.",67140,1131,1181,69452,51044,2100,53144,0.7652,52984,375,0.0071,52609,24610,18414,3220,5321,1044,0.4678,0.35,0.0612,0.1011,0.0198445132962041,24243,18028,3230,5863,1335,0.460027704510522,0.342093777870548,0.0612914856069375,0.111254483007268,0.0253325490047249,"Dr. Fónagy János Vilmos","Bauer Tamás","Szávay István","Hajdu Mária","FIDESZ_egy",0.007772295489478
"15","BUDAPEST",4,"Budapest II.ker.",69346,857,1132,71335,52973,1811,54784,0.768,54710,399,0.0073,54311,24928,20750,3583,4618,432,0.459,0.3821,0.066,0.085,0.00795418975898069,23611,19795,3854,5639,1442,0.434496972819786,0.36427375278335,0.0709225078669881,0.103770633591579,0.0265361329382971,"Varga Mihály","Szelényi Zsuzsanna","Bodor Zoltán","Dárdai Zsuzsanna Terézia","FIDESZ_egy",0.0245030271802139
"16","BUDAPEST",5,"Budapest VII.ker.",68940,1575,948,71463,42886,2296,45182,0.6322,45074,457,0.0101,44617,16983,17256,4661,5348,369,0.3806,0.3868,0.1045,0.1199,0.00827039021000964,16688,16806,4583,5078,1523,0.373517167285913,0.376158288195532,0.102578450243968,0.113657728636018,0.0340883656385693,"Rónaszékiné Keresztes Monika Mária","Dr. Oláh Lajos","Stummer János","Csiba Katalin Gyöngyvér","MSZP_egy",0.00708283271408744
"17","BUDAPEST",6,"Budapest VIII.ker.",72433,1278,566,74277,40651,1620,42271,0.5691,42204,434,0.0103,41770,15977,15437,5560,3474,1322,0.3825,0.3696,0.1331,0.0832,0.0316495092171415,15960,15004,5366,3867,1642,0.381462272042831,0.358612777552045,0.128253543344726,0.0924257271923325,0.0392456798680657,"Dr. Vas Imre","Pál Tibor Gyula","Dúró Dóra","Jakabfy Tamás","FIDESZ_egy",0.00103772795716917
"18","BUDAPEST",7,"Budapest XIII.ker.",78655,1332,916,80903,52258,2027,54285,0.671,54170,484,0.0089,53686,16453,27514,4640,3821,1258,0.3065,0.5125,0.0864,0.0712,0.0234325522482584,16806,24538,5243,5261,1851,0.312966721912885,0.456954505670497,0.0976368275014432,0.0979720292742882,0.0344699156408872,"Dr. Szalay Péter","Hiszékeny Dezsõ","Benke László","Moldován László","MSZP_egy",-0.00646672191288478
"19","BUDAPEST",8,"Budapest XIV.ker.",77648,1239,654,79541,53652,1699,55351,0.6959,54985,582,0.0106,54403,19772,21697,5924,4961,2049,0.3634,0.3988,0.1089,0.0912,0.0376633641527122,19966,21283,5848,5329,1994,0.36688717383315,0.391087835354649,0.107460492466005,0.0979235575156193,0.036640940830577,"Dr. Papcsák Ferenc","Tóth Csaba János","Kovács Béla","Barta János","MSZP_egy",-0.00348717383314956
"20","BUDAPEST",9,"Budapest X.ker.",78238,1001,372,79611,49509,1226,50735,0.6373,50670,420,0.0083,50250,18851,19501,6975,3356,1567,0.3751,0.3881,0.1388,0.0668,0.03118407960199,17746,19175,7510,3731,2143,0.352768114501541,0.381174833515555,0.149289335056157,0.074167577775569,0.0426001391511778,"Dr. György István","Burány Sándor","Tubák István","Tóth Balázs","MSZP_egy",0.0223318854984594
"21","BUDAPEST",10,"Budapest III.ker.",72888,875,480,74243,50728,1217,51945,0.6997,51872,526,0.0101,51346,18394,19633,6815,4593,1911,0.3582,0.3824,0.1327,0.0895,0.0372180890429634,18604,19696,6521,4539,2118,0.361397101674502,0.382610047010373,0.1266754730176,0.0881735887175104,0.0411437895800148,"Keszegné Menczer Erzsébet Livia","Kiss László","Zsiga-Kárpát Dániel Gábor","Száraz Dorottya","MSZP_egy",-0.00319710167450171
"22","BUDAPEST",11,"Budapest IV.ker.",76701,841,381,77923,50858,1092,51950,0.6667,51912,379,0.0073,51533,18181,20956,6529,3935,1932,0.3528,0.4067,0.1267,0.0764,0.037490540042303,17676,20277,6895,4474,2285,0.342511674772802,0.392911814288759,0.133605906175519,0.0866936655880016,0.0442769391749181,"Dr. Hollósi Antal Gábor","Kiss Péter","Pajor Tibor","Rákosi Judit","MSZP_egy",0.0102883252271979
"23","BUDAPEST",12,"Budapest XV.ker.",76338,740,286,77364,49939,918,50857,0.6574,50804,586,0.0115,50218,18955,18678,7488,3306,1791,0.3775,0.3719,0.1491,0.0658,0.0356645027679318,18468,18409,7673,3669,2115,0.366909047562284,0.36573687765725,0.152441689514046,0.072893074263917,0.0420193110025033,"László Tamás","Móricz Eszter","Dr. Gyenes Géza József","Szilvágyi László","FIDESZ_egy",0.0105909524377161
"24","BUDAPEST",13,"Budapest XVI.ker.",68728,648,500,69876,50978,1061,52039,0.7447,51975,401,0.0077,51574,21445,19682,5850,3201,1396,0.4158,0.3816,0.1134,0.0621,0.0270679024314577,20908,18287,6112,4444,1829,0.405350911205894,0.354536642109345,0.118495540907328,0.0861574253586661,0.035459480418767,"Szatmáry Kristóf","Karácsony Gergely Szilveszter","Kredits Krisztina","Mizsei László","FIDESZ_egy",0.0104490887941062
"25","BUDAPEST",14,"Budapest XVII.ker.",75277,687,357,76321,51560,921,52481,0.6876,52444,374,0.0071,52070,22393,17084,7427,3395,1771,0.4301,0.3281,0.1426,0.0652,0.0340119070482043,20715,17307,7977,3889,2231,0.397455822252921,0.332067000518045,0.15305358890232,0.0746177017978089,0.042805886528905,"Dunai Mónika","Lukoczki Károly","Szilágyi György","Dr. Schmuck Erzsébet","FIDESZ_egy",0.0326441777470788
"26","BUDAPEST",15,"Budapest XVIII.ker.",79419,708,390,80517,54366,986,55352,0.6875,55315,394,0.0071,54921,20648,20592,8493,3448,1740,0.376,0.3749,0.1546,0.0628,0.0316818703228273,20306,19586,8842,3983,2200,0.369757998434,0.35664730411348,0.161006609975053,0.0725276326092103,0.0400604548682557,"Kucsák László","Kunhalmi Ágnes","Makai Tibor","Kassai Dániel","FIDESZ_egy",0.00624200156599958
"27","BUDAPEST",16,"Budapest XX.ker.",72845,704,300,73849,47772,898,48670,0.659,48621,384,0.0079,48237,17523,18507,7407,2939,1861,0.3633,0.3837,0.1536,0.0609,0.0385803428903124,17786,17320,7540,3608,1949,0.36898118374375,0.359313735659606,0.156421799473062,0.0748501130635023,0.0404331680600792,"Földesi Gyula","Dr. Hiller István","Tokody Marcell Gergely","Ferenczi István","MSZP_egy",-0.00568118374375037
"28","BUDAPEST",17,"Budapest XXI.ker.",78159,747,303,79209,50591,914,51505,0.6502,51472,435,0.0085,51037,18120,18564,9076,3076,2201,0.355,0.3637,0.1778,0.0603,0.043125575562827,17758,18407,9238,3439,2216,0.347800540561714,0.360511575071487,0.180931489678405,0.0673547730032512,0.0434016216851424,"Németh Szilárd István","Dr. Szabó Szabolcs","Léhmann Viktor","Tenk András","MSZP_egy",0.00719945943828587
"29","BUDAPEST",18,"Budapest XXII.ker.",76926,899,537,78362,54946,1296,56242,0.7177,56175,490,0.0087,55685,23189,20523,6784,3601,1588,0.4164,0.3686,0.1218,0.0647,0.0285175540989494,22958,19504,6682,4491,2115,0.41180269058296,0.349847533632287,0.119856502242152,0.0805560538116592,0.0379372197309417,"Szabolcs Attila","Somfai Ágnes","Dr. Staudt Gábor","Gecsei-Tóth Andrea","FIDESZ_egy",0.00459730941704034
"30","BÁCS–KISKUN",1,"Kecskemét",70266,760,167,71193,39727,820,40547,0.5695,40512,469,0.0116,40043,20558,7899,8204,2134,1248,0.5134,0.1973,0.2049,0.0533,0.031166496016782,20731,7768,8080,2088,1489,0.516261579838629,0.193445562307003,0.201215260484112,0.0519972108775775,0.0370803864926786,"Dr. Salacz László","Király József","Gyöngyösi Márton Balázs","Kriskó Dávid Gábor","FIDESZ_egy",-0.00286157983862934
"31","BÁCS–KISKUN",2,"Kecskemét",71758,844,242,72844,42711,953,43664,0.5994,43639,477,0.0109,43162,22303,9446,7548,2295,1570,0.5167,0.2188,0.1749,0.0532,0.0363745887586303,21289,9521,8142,2658,1698,0.491571995936086,0.219843908746652,0.188002216680521,0.0613743419229704,0.0392075367137711,"Dr. Zombor Gábor Zoltán","Laskovics Diána","Oberna Zoltán","Falusi Norbert","FIDESZ_egy",0.0251280040639144
"32","BÁCS–KISKUN",3,"Kalocsa",68522,966,116,69604,40493,948,41441,0.5954,41402,426,0.0103,40976,20833,8321,9397,1457,968,0.5084,0.2031,0.2293,0.0356,0.0236235845372901,20391,8494,9140,1638,1273,0.49811901504788,0.20749462575728,0.22327535665429,0.0400136798905609,0.0310973226499902,"Font Sándor","Niedermüller Péter","Suhajda Krisztián","Makádi Balázs","FIDESZ_egy",0.0102809849521203
"33","BÁCS–KISKUN",4,"Kiskunfélegyháza",73311,671,135,74117,40435,709,41144,0.5551,41134,575,0.014,40559,21634,7452,8666,1387,1420,0.5334,0.1837,0.2137,0.0342,0.035010725116497,21746,6695,9127,1626,1509,0.534260373928212,0.164484190354519,0.224234085939611,0.0399479153870722,0.0370734343905855,"Lezsák Sándor István","Dr. Garai István Levente","Kollár László","Kiss Kálmán Tibor","FIDESZ_egy",-0.0008603739282117
"34","BÁCS–KISKUN",5,"Kiskunhalas",72120,840,155,73115,39023,892,39915,0.5459,39882,416,0.0104,39466,20228,7297,9659,913,1369,0.5125,0.1849,0.2447,0.0231,0.0346880859473978,19409,7710,9669,1292,1303,0.492826854226443,0.195769748368585,0.245512022954066,0.0328060330599497,0.0330853413909555,"Bányai Gábor Elemér","Török Zsolt Bernát","Farkas Gergely","Lapos Péter","FIDESZ_egy",0.0196731457735571
"35","BÁCS–KISKUN",6,"Baja",68157,989,173,69319,38283,1024,39307,0.567,39262,424,0.0108,38838,19286,9954,6792,1835,971,0.4966,0.2563,0.1749,0.0472,0.0250012873989392,18783,9150,7283,1799,1252,0.490840672119581,0.239109415423211,0.190320641806256,0.0470117856116236,0.0327174850393289,"Zsigó Róbert Vilmos","Teket Melinda","Mészáros István","Ikotity István","FIDESZ_egy",0.00575932788041916
"36","BÉKÉS",1,"Békéscsaba",72396,1324,195,73915,43817,1360,45177,0.6112,45114,438,0.0097,44676,18364,12161,9273,2678,2200,0.411,0.2722,0.2076,0.0599,0.049243441668905,18149,11924,9634,2685,2256,0.406490772263035,0.267066833900735,0.215776742519262,0.0601370722092815,0.0505285791076868,"Vantara Gyula","Miklós Attila Zsolt","Dr. Dévényi-Dabrowsky Géza Dániel","Takács Péter","FIDESZ_egy",0.00450922773696466
"37","BÉKÉS",2,"Békés",73825,1072,136,75033,41183,1063,42246,0.563,42226,507,0.012,41719,19942,7925,10958,1576,1318,0.478,0.19,0.2627,0.0378,0.0315923200460222,19385,8121,10853,1602,1652,0.465840001922476,0.195155360103814,0.260807920601735,0.0384975848893375,0.0396991324826376,"Dankó Béla","Rejtõ József","Samu Tamás Gergõ","Rigler Miklós","FIDESZ_egy",0.0121599980775238
"38","BÉKÉS",3,"Gyula",71564,1221,133,72918,40521,1192,41713,0.5721,41668,425,0.0102,41243,19315,9378,7579,1101,3870,0.4683,0.2274,0.1838,0.0267,0.0938341051814853,18814,9647,8681,1446,2532,0.457538910505837,0.234606031128405,0.211113813229572,0.0351653696498054,0.0615758754863813,"Dr. Kovács József Dezsõ","Bod Tamás","Varga Géza István","Földi Mihály István","FIDESZ_egy",0.0107610894941634
"39","BÉKÉS",4,"Orosháza",77283,1111,142,78536,45424,1123,46547,0.5927,46516,711,0.0153,45805,20789,10738,10403,1487,2388,0.4539,0.2344,0.2271,0.0325,0.0521340465014736,20140,10674,11093,1580,2225,0.440584529226461,0.233505425271264,0.242671508575429,0.0345642282114106,0.0486743087154358,"Simonka György","Varga Zoltán","Jámbor Nándor","Nagy Gábor","FIDESZ_egy",0.0133154707735387
"40","CSONGRÁD",1,"Szeged",83753,1152,452,85357,50196,1443,51639,0.605,51569,520,0.0101,51049,17346,20131,7463,3956,2153,0.3398,0.3943,0.1462,0.0775,0.042175165037513,17283,19072,8057,4352,2334,0.338232416141532,0.373243571176954,0.157677404203687,0.0851696739598419,0.045676934517985,"Dr. Bohács Zsolt József","Szabó Sándor","Rácz Tibor","Tanács Eszter","MSZP_egy",0.00156758385846806
"41","CSONGRÁD",2,"Szeged",85739,1089,455,87283,52242,1374,53616,0.6143,53579,735,0.0137,52844,23171,16952,8160,3475,1086,0.4385,0.3208,0.1544,0.0658,0.0205510559382333,22985,15406,8372,4169,1980,0.434400514061083,0.291162685213184,0.158224977320835,0.0787912004838222,0.0374206229210765,"B Nagy László","Némethné Bátyai Edina Beáta","Tóth Péter","Tatár Gábor","FIDESZ_egy",0.00409948593891746
"42","CSONGRÁD",3,"Szentes",83913,977,174,85064,47520,1018,48538,0.5706,48511,666,0.0137,47845,21911,10201,11610,1794,2329,0.458,0.2132,0.2427,0.0375,0.0486780227818999,22215,9579,11992,2143,2094,0.462590841888262,0.199466922099827,0.249713678862212,0.0446244507839993,0.0436041063656998,"Farkas Sándor","Dr. Komáromi Zoltán Pál","Dudás Zoltán Sándor","Gurdon Lajos","FIDESZ_egy",-0.00459084188826187
"43","CSONGRÁD",4,"Hódmezõvásárhely",81483,778,154,82415,47595,829,48424,0.5876,48389,673,0.0139,47716,20792,9323,11824,3312,2465,0.4357,0.1954,0.2478,0.0694,0.0516598206052477,20823,10034,11969,2692,2286,0.435591163919337,0.209898753242407,0.25037653752824,0.0563132792234959,0.04782026608652,"Dr. Lázár János","Varga Péter","Dr. Kiss Attila","Nagy-Bandó András","FIDESZ_egy",0.0001088360806627
"44","FEJÉR",1,"Székesfehérvár",64091,950,290,65331,43625,1122,44747,0.6849,44707,382,0.0085,44325,19602,13407,7450,2725,1141,0.4422,0.3025,0.1681,0.0615,0.0257416807670615,19170,12894,7493,3055,1673,0.432877949644349,0.291159534831207,0.169199503217794,0.0689849836287682,0.0377780286778819,"Vargha Tamás János","Dr. Márton Roland","Dr. Mezõ Balázs Béla","Bialkó László Gergõ","FIDESZ_egy",0.00932205035565087
"45","FEJÉR",2,"Székesfehérvár",70089,751,144,70984,43951,797,44748,0.6304,44695,503,0.0113,44192,22177,8415,9668,1944,1988,0.5018,0.1904,0.2188,0.044,0.0449855177407676,22333,8374,9627,2151,1610,0.506474656990588,0.189908152851797,0.218324073024152,0.0487810409343463,0.0365120761991155,"Törõ Gábor","Herczog Edit","Fazakas Attila Levente","Kalmár András","FIDESZ_egy",-0.00467465699058844
"46","FEJÉR",3,"Bicske",70475,914,224,71613,44456,1009,45465,0.6349,45454,695,0.0153,44759,22571,9534,8021,2677,1956,0.5043,0.213,0.1792,0.0598,0.0437007082374495,22748,9812,7972,2401,1758,0.509006287619431,0.219552035085364,0.178380434539393,0.0537244635385201,0.0393367792172921,"Tessely Zoltán Károly","Horváth András Tibor","Gáspár Kornél Dániel","Varga György","FIDESZ_egy",-0.00470628761943126
"47","FEJÉR",4,"Dunaújváros",68921,863,181,69965,41200,865,42065,0.6012,42099,779,0.0185,41320,14826,12128,10422,1811,2133,0.3588,0.2935,0.2522,0.0438,0.051621490803485,15120,12189,10160,2015,1879,0.36554408529362,0.294683654473805,0.245630152551797,0.0487150351763653,0.0454270725044122,"Dr. Galambos Dénes","Magyar András Tamás","Pintér Tamás","Illéssy István","FIDESZ_egy",-0.00674408529361992
"48","FEJÉR",5,"Sárbogárd",68670,660,79,69409,36768,648,37416,0.5391,37388,490,0.0131,36898,17576,5781,10926,942,1673,0.4763,0.1567,0.2961,0.0255,0.0453412109057401,17954,5994,10866,1035,1175,0.484928694900605,0.161894987035436,0.293485306828003,0.0279548401037165,0.0317361711322385,"Varga Gábor","Ecsõdi László József","Árgyelán János","Szatmári Ildikó","FIDESZ_egy",-0.00862869490060503
"49","GYÕR–MOSON–SOPRON",1,"Gyõr",67871,921,268,69060,43499,1045,44544,0.645,44500,284,0.0064,44216,21560,12893,6364,2468,931,0.4876,0.2916,0.1439,0.0558,0.0210557264338701,20946,11901,6820,3039,1512,0.473698493826044,0.269143787597811,0.154235831561807,0.0687276674657379,0.0341942195486001,"Simon Róbert Balázs","Fábián György Zoltán","Fodor Roland Alexander","Madarász Zsuzsanna","FIDESZ_egy",0.0139015061739563
"50","GYÕR–MOSON–SOPRON",2,"Gyõr",71556,798,182,72536,44072,882,44954,0.6197,44907,393,0.0088,44514,24593,9278,7714,2089,840,0.5525,0.2084,0.1733,0.0469,0.0188704677180213,23497,9148,8059,2419,1450,0.527157696363269,0.205236353846499,0.180804522917461,0.0542705225136293,0.0325309043591412,"Kara Ákos","Glázer Tímea","Takács Krisztián","Jenei Ferenc","FIDESZ_egy",0.0253423036367307
"51","GYÕR–MOSON–SOPRON",3,"Csorna",67208,644,91,67943,41776,649,42425,0.6244,42403,420,0.0099,41983,24707,7005,8478,1268,525,0.5885,0.1669,0.2019,0.0302,0.0125050615725413,24786,6806,8149,1412,930,0.588978922605328,0.161728013687237,0.193641137751586,0.03355274101181,0.0220991849440392,"Gyopáros Alpár Ádám","Kránitz László","Magyar Zoltán","Szakács Gyula","FIDESZ_egy",-0.000478922605327559
"52","GYÕR–MOSON–SOPRON",4,"Sopron",74344,1028,165,75537,48275,1057,49332,0.6531,49317,484,0.0098,48833,24698,11601,8178,3097,1259,0.5058,0.2376,0.1675,0.0634,0.0257817459504843,24574,11280,8324,3035,1569,0.503751383707105,0.231232831782215,0.170636710261982,0.0622155713172892,0.0321635029314091,"Firtl Mátyás Sándor","Kalmár István","Gõbl Gábor","Bebesi József Lajos","FIDESZ_egy",0.00204861629289499
