"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","FIDESZ_egy","MSZP_egy","JOBBIK_egy","LMP_egy","MAS_egy","FIDESZ_egy_pct","MSZP_egy_pct","JOBBIK_egy_pct","LMP_egy_pct","MAS_egy_pct","FIDESZ_lst","MSZP_lst","JOBBIK_lst","LMP_lst","MAS_lst","FIDESZ_lst_pct","MSZP_lst_pct","JOBBIK_lst_pct","LMP_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","MSZP_egy_jlt","JOBBIK_egy_jlt","LMP_egy_jlt","winner","dev_lst_egy"
"65","JÁSZ–NAGYKUN–SZOLNOK",3,"Karcag",79165,1344,124,80633,44147,1329,45476,0.564,45426,611,0.0135,44815,23201,7719,11511,948,1436,0.5177,0.1722,0.2569,0.0212,0.0320428427981703,22283,7796,11999,1197,1489,0.497788401393977,0.174157805379323,0.268050218925923,0.0267402376910017,0.0332633366097757,"Dr. Fazekas Sándor","Ozsváth László","Dr. Lukács László György","Péntek Ildikó","FIDESZ_egy",0.0199115986060228
"66","JÁSZ–NAGYKUN–SZOLNOK",4,"Törökszentmiklós",78448,1049,116,79613,43458,1026,44484,0.5588,44458,574,0.0129,43884,18524,9386,13436,1128,1410,0.4221,0.2139,0.3062,0.0257,0.0321301613344271,17831,9396,13567,1331,1631,0.407509827223695,0.214736264740836,0.310060334582686,0.0304186854374257,0.0372748880153579,"Boldog István","Rózsa Endre","Csányi Tamás","Sallai Róbert Benedek","FIDESZ_egy",0.0145901727763049
"67","KOMÁROM–ESZTERGOM",1,"Tatabánya",81569,829,231,82629,49469,950,50419,0.6102,50390,414,0.0082,49976,21434,15954,7868,2473,2247,0.4289,0.3192,0.1574,0.0495,0.0449615815591484,19116,16447,8953,3104,2368,0.382411778826918,0.329018964551492,0.179102984716332,0.0620949027766664,0.0473713691285909,"Bencsik János","Lukács Zoltán Géza","Vágó Sebestyén","Gutai Zsolt","FIDESZ_egy",0.0464882211730815
"68","KOMÁROM–ESZTERGOM",2,"Esztergom",82673,886,197,83756,50622,953,51575,0.6158,51544,423,0.0082,51121,23475,13896,10141,2213,1396,0.4592,0.2718,0.1984,0.0433,0.0273077600203439,22018,13463,10856,2697,1748,0.433578827143476,0.265113622937261,0.213776534992714,0.0531093694616203,0.0344216454649285,"Dr. Völner Pál","Dr. Vadai Ágnes","Nunkovics Tibor","Prommer Mátyás Jenõ","FIDESZ_egy",0.025621172856524
"69","KOMÁROM–ESZTERGOM",3,"Komárom",83789,848,162,84799,49354,910,50264,0.5927,50239,479,0.0095,49760,23391,12430,9909,2231,1799,0.4701,0.2498,0.1991,0.0448,0.036153536977492,22575,12529,10290,2450,1829,0.454472248505224,0.252229581462766,0.207154792341916,0.0493225696052181,0.0368208080848751,"Czunyiné Dr. Bertalan Judit","Székely Antal","Szabó Mihály","Szabados Sándor","FIDESZ_egy",0.0156277514947759
"70","NÓGRÁD",1,"Salgótarján",81224,1196,138,82558,48659,1188,49847,0.6038,49805,899,0.0181,48906,18410,13140,11499,1286,4571,0.3764,0.2687,0.2351,0.0263,0.0934650145176461,18841,14073,12360,1447,2429,0.383336724313327,0.286327568667345,0.25147507629705,0.029440488301119,0.0494201424211597,"Becsó Zsolt","Boldvai László Róbert","Kutas József","Komlósi Csaba","FIDESZ_egy",-0.00693672431332654
"71","NÓGRÁD",2,"Balassagyarmat",81619,1215,125,82959,49992,1196,51188,0.617,51157,837,0.0164,50320,24564,10358,11256,1542,2600,0.4882,0.2058,0.2237,0.0306,0.0516693163751987,23922,10308,11905,1646,1937,0.481153706906955,0.207329337463293,0.239450500824651,0.0331067219115813,0.0389597328935194,"Balla Mihály Tibor","Borenszki Ervin","Kiss László","Zagyvai Sándor","FIDESZ_egy",0.00704629309304478
"72","PEST",1,"Érd",78182,820,386,79388,51267,1053,52320,0.659,52266,441,0.0084,51825,22271,16386,8295,2923,1950,0.4297,0.3162,0.1601,0.0564,0.0376266280752533,22199,15818,8323,3308,2072,0.429215003866976,0.30583913379737,0.160924207269915,0.0639597834493426,0.040061871616396,"Dr. Aradszki András","Dr. Dorosz Dávid","Pulai Edina","Varga Illés Levente","FIDESZ_egy",0.000484996133023996
"73","PEST",2,"Budakeszi",84816,1007,714,86537,60001,1536,61537,0.7111,61429,565,0.0092,60864,28327,16290,6827,6607,2813,0.4654,0.2676,0.1122,0.1086,0.0462177970557308,27944,17060,7045,5854,1990,0.466565374918605,0.284841300318902,0.117626433806956,0.0977409713989949,0.0332259195565425,"Csenger-Zalán Zsolt","Dr. Szabóné Müller Timea Nóra","Császárné Kollár Tímea Annamária","Dr. Szél Bernadett","FIDESZ_egy",-0.00116537491860486
"74","PEST",3,"Szentendre",83577,1001,542,85120,57073,1377,58450,0.6867,58393,517,0.0089,57876,27364,15434,8167,4184,2727,0.4728,0.2667,0.1411,0.0723,0.0471179763632594,27470,15125,7881,4737,2171,0.478704865467726,0.263575212602816,0.137337933918862,0.0825491426181514,0.0378328453924439,"Hadházy Sándor","Szinna Gábor","Murányi Levente","Kardos-Horváth János","FIDESZ_egy",-0.00590486546772617
"75","PEST",4,"Vác",72860,922,245,74027,46936,1040,47976,0.6481,47952,511,0.0107,47441,22193,11767,9493,1991,1997,0.4678,0.248,0.2001,0.042,0.0420943909276786,22316,11140,9690,2418,1798,0.471179426544487,0.235209661754149,0.2045944005743,0.0510535872640513,0.0379629238630125,"Harrach Péter Pál","Kiss Zsolt János","Fehér Zsolt","Dengelegi Klára Zsuzsanna","FIDESZ_egy",-0.00337942654448714
"76","PEST",5,"Dunakeszi",87339,959,404,88702,58219,1191,59410,0.6698,59356,450,0.0076,58906,24344,18166,9641,4515,2240,0.4133,0.3084,0.1637,0.0766,0.0380266865854073,24255,17910,9373,4719,2610,0.412030509453514,0.304245162824673,0.159223333956206,0.0801637589821122,0.044337234783495,"Dr. Tuzson Bence Balázs","Szabó Imre","Nyiri Márton","Juhász Péter","FIDESZ_egy",0.00126949054648617
"77","PEST",6,"Gödöllõ",84426,887,336,85649,54882,1080,55962,0.6534,55915,588,0.0105,55327,23745,14027,10588,3544,3423,0.4292,0.2535,0.1914,0.0641,0.061868527120574,24788,14013,10332,3724,2473,0.448002891740466,0.253262244713537,0.18673414061088,0.0673052593529731,0.0446954635821435,"Vécsey László József","Kovács Barnabás","Bertha Szilvia Zsuzsanna","Lengyel Szilvia","FIDESZ_egy",-0.0188028917404663
"78","PEST",7,"Vecsés",83575,673,307,84555,51198,857,52055,0.6156,51987,517,0.0099,51470,22109,14971,10098,2296,1996,0.4296,0.2909,0.1962,0.0446,0.0387798717699631,21887,14215,10227,2794,2236,0.426157051344458,0.276777195817676,0.199127708872836,0.0544013707431998,0.0435366732218306,"Dr. Szûcs Lajos","Szabó Rebeka Katalin","Sas Zoltán","Pintér Sándor","FIDESZ_egy",0.00344294865554234
"79","PEST",8,"Szigetszentmiklós",83462,946,273,84681,51503,1063,52566,0.6208,52542,517,0.0098,52025,20946,17134,9578,2605,1762,0.4026,0.3293,0.1841,0.0501,0.0338683325324363,20512,15891,10012,3153,2304,0.395434916718075,0.306350246761258,0.193013571869217,0.0607842381246144,0.0444170265268353,"Bóna Zoltán","Kuncze Gábor","Lupa János","Jaksa-Ladányi Emma Zsuzsánna","FIDESZ_egy",0.00716508328192478
"80","PEST",9,"Nagykáta",74247,839,112,75198,40842,824,41666,0.5541,41646,603,0.0145,41043,20595,8047,10198,1183,1020,0.5018,0.1961,0.2485,0.0288,0.0248519845040567,20174,8216,10254,1259,1332,0.489244573784406,0.199248211470838,0.248672244452528,0.0305323147811325,0.0323026555110949,"Czerván György","Dr. Baja Ferenc","Csanádi Gábor Ferenc","Mikus Csaba","FIDESZ_egy",0.0125554262155936
"81","PEST",10,"Monor",75187,772,139,76098,41744,791,42535,0.559,42515,492,0.0116,42023,19475,9046,10648,1515,1339,0.4634,0.2153,0.2534,0.0361,0.0318635033196107,19140,9172,10537,1638,1451,0.456388001335304,0.218703800848872,0.251251847966045,0.0390576565406076,0.0345986933091707,"Pogácsás Tibor János","Braun Róbert","Dr. Kereszturi Imre","Török László","FIDESZ_egy",0.00701199866469548
"82","PEST",11,"Dabas",82205,779,209,83193,48169,847,49016,0.5892,48982,430,0.0088,48552,23486,11379,10003,2181,1503,0.4837,0.2344,0.206,0.0449,0.0309565002471577,23192,11070,9863,2306,1734,0.481511470985155,0.22983494238555,0.204775251738815,0.0478770891726357,0.0360012457178449,"Pánczél Károly","Dr. Bakó Krisztina Katalin","Zábrácki László","Zagyva Gabriella","FIDESZ_egy",0.00218852901484484
"83","PEST",12,"Cegléd",75208,694,132,76034,42412,710,43122,0.5671,43104,584,0.0135,42520,18732,8828,12285,1359,1316,0.4405,0.2076,0.2889,0.032,0.0309501411100659,19610,8473,11803,1456,1279,0.4601018277375,0.198798714248844,0.276929213298609,0.0341615635484855,0.0300086811665611,"Földi László","Romhányiné Dr. Balogh Edit","Volner János","Földi Áron","FIDESZ_egy",-0.0196018277375003
"84","SOMOGY",1,"Kaposvár",64258,1165,137,65560,40184,1135,41319,0.6302,41268,402,0.0097,40866,16524,11623,8931,2058,1730,0.4043,0.2844,0.2185,0.0504,0.0423334801546518,16538,11402,9320,2218,1493,0.403651363159308,0.278294403358473,0.227477972224256,0.0541358521881331,0.0364404090698299,"Gelencsér Attila","Dr. Kolber István","Miháldinecz Gábor","Felder Frigyes","FIDESZ_egy",0.000648636840692163
"85","SOMOGY",2,"Barcs",62931,895,89,63915,33790,901,34691,0.5428,34675,449,0.0129,34226,15907,7592,8227,764,1736,0.4648,0.2218,0.2404,0.0223,0.0507216735814878,15623,7569,8647,929,1235,0.459459459459459,0.222598006058289,0.254301091080199,0.0273211187248184,0.0363203246772344,"Szászfalvi László","Csendesné Murányi Ibolya Julianna","Ander Balázs","Kutas Viktor Csaba","FIDESZ_egy",0.00534054054054051
