"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","ERVTL_LST","ERV_LST","FIDESZ_egy","JOBBIK_egy","MSZP_egy","DK_egy","LMP_egy","MOMENTUM_egy","EGYUTT_egy","MKKP_egy","FUGGETLEN_egy","MAS_egy","FIDESZ_egy_pct","JOBBIK_egy_pct","MSZP_egy_pct","DK_egy_pct","LMP_egy_pct","MOMENTUM_egy_pct","EGYUTT_egy_pct","MKKP_egy_pct","FUGGETLEN_egy_pct","MAS_egy_pct","FIDESZ_lst","JOBBIK_lst","MSZP_lst","DK_lst","LMP_lst","MOMENTUM_lst","EGYUTT_lst","MKKP_lst","FUGGETLEN_lst","MAS_lst","FIDESZ_lst_pct","JOBBIK_lst_pct","MSZP_lst_pct","DK_lst_pct","LMP_lst_pct","MOMENTUM_lst_pct","EGYUTT_lst_pct","MKKP_lst_pct","FUGGETLEN_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","JOBBIK_egy_jlt","MSZP_egy_jlt","DK_egy_jlt","LMP_egy_jlt","MOMENTUM_egy_jlt","EGYUTT_egy_jlt","MKKP_egy_jlt","FUGGETLEN_egy_jlt","MAS_egy_jlt","winner","FE_pct","LEFTLIB_OPP_lst_pct","LEFTLIB_OPP_egy_pct","LEFTLIB_OPP_lst","LEFTLIB_OPP_egy","FIDESZ_dev_lst_egy","JOBBIK_dev_lst_egy","LEFTLIB_OPP_dev_lst_egy","FIDESZ_dev_lst_egy_vts","JOBBIK_dev_lst_egy_vts","LEFTLIB_OPP_dev_lst_egy_vts"
"11","BORSOD–ABAÚJ–ZEMPLÉN",7,"Mezõkövesd",74741,1961,337,77039,50991,2002,52993,68.79,52972,555,1.05,52417,509,52165,28718,16389,4390,NA,1771,NA,126,NA,NA,1023,0.547875689184806,0.312665738214701,0.0837514546807333,NA,0.0337867485739359,NA,0.00240380029379781,NA,NA,0.0195165690520251,26897,13789,4910,1781,2413,779,154,580,NA,862,0.515613917377552,0.264334323780312,0.0941244129205406,0.0341416658679191,0.0462570689159398,0.0149333844531774,0.00295217099587846,0.0111185660883734,NA,0.0165244896003067,"Tállai András","Lukács Attila","Kormos Anna",NA,"Ambrus Gyöngyi",NA,"Kiss Tamás",NA,NA,NA,"FIDESZ_egy",0.682235988279525,0.192408703153455,0.119942003548467,10037,6287,0.0322617718072544,0.0483314144343889,-0.0724666996049883,1821,2600,-3750
"12","BUDAPEST",1,"Budapest V. kerület",59605,2225,1701,63531,45091,3623,48714,76.68,48626,716,1.47,47910,323,48201,20031,3060,0,NA,23345,0,0,1474,NA,0,0.418096430807765,0.0638697557921102,0,NA,0.487267793780004,0,0,0.0307660196201211,NA,0,19711,4276,7070,3301,6941,3899,1171,1551,NA,281,0.408933424617747,0.088711852451194,0.146677454824589,0.0684840563473787,0.144001161801622,0.0808904379577187,0.0242941017821207,0.0321777556482231,NA,0.00582975456940727,"Hollik István","Losonczy Pál","Váradiné Naszályi Márta",NA,"Csárdi Antal","Fekete-Gyõr András","Juhász Péter","Horváth András",NA,NA,"LMP_egy",0.756496938176327,0.464347212713429,0.487267793780004,22382,23345,0.00916300619001803,-0.0248420966590838,0.022920581066575,320,-1216,963
"13","BUDAPEST",2,"Budapest XI. kerület",66173,1740,1422,69335,53047,2959,56006,80.78,55894,388,0.69,55506,322,55474,23403,3252,NA,22494,3384,1540,0,990,NA,443,0.421630094043887,0.0585882607285699,NA,0.40525348610961,0.0609663820127554,0.0277447483154974,0,0.0178359096313912,NA,0.00798111915828919,22715,4930,9418,4895,6981,3896,750,1457,NA,432,0.409471103580056,0.0888704618379782,0.169773227097379,0.088239535638317,0.125842737138119,0.0702310992537044,0.0135198471355951,0.0262645563687493,NA,0.00778743195010275,"Dr. Simicskó István","Dr. Bardócz-Tódor András",NA,"Gy. Németh Erzsébet","Kreitler-Sas Máté","Bedõ Dávid","Kóber György","Fischer Roland",NA,NA,"FIDESZ_egy",0.80164115273601,0.467606446263114,0.493964616437863,25940,27418,0.0121589904638316,-0.0302822011094083,0.0263581701747482,688,-1678,1478
"14","BUDAPEST",3,"Budapest XII. kerület",63535,1749,1931,67215,51419,3429,54848,81.6,54740,483,0.88,54257,346,54311,23173,3142,NA,21176,3787,1449,0,1530,NA,0,0.427096964446984,0.0579095784875684,NA,0.390290653740531,0.0697974454909044,0.0267062314540059,0,0.0281991263800063,NA,0,22673,4168,8144,4673,7605,4054,1044,1673,NA,277,0.417466075012428,0.0767432011931285,0.149951206937821,0.0860415017215665,0.140026882215389,0.0746441788956197,0.01922262525087,0.0308040728397562,NA,0.00510025593342049,"Gulyás Gergely","Gyöngyösi Márton",NA,"Bauer Tamás","Hajdu Mária","Kádár Barnabás Áron","Bényi Hajnal","Kovács Gergely",NA,NA,"FIDESZ_egy",0.809301959549854,0.469886395021266,0.486794330685442,25520,26412,0.00963088943455537,-0.01883362270556,0.0169079356641751,500,-1026,892
"15","BUDAPEST",4,"Budapest II. kerület",68148,1423,1860,71431,55282,3027,58309,81.63,58204,318,0.55,57886,437,57677,24208,3585,NA,21496,5848,1538,0,1044,NA,167,0.418201292195004,0.06193207338562,NA,0.371350585633832,0.101026154856096,0.0265694641191307,0,0.0180354489859379,NA,0.00288498082437895,22978,5186,9468,5362,7725,4061,1026,1523,NA,348,0.398391039755882,0.0899145239870312,0.164155555940843,0.0929660003120828,0.133935537562633,0.0704093486138322,0.0177887199403575,0.0264056729718952,NA,0.0060336009154429,"Varga Mihály","Kovács Tamás",NA,"Niedermüller Péter","Ungár Péter","Benedek Márton","Mihalik Zoltán","Juhász Veronika",NA,NA,"FIDESZ_egy",0.811205024358749,0.479255162369749,0.498946204609059,27642,28882,0.019810252439122,-0.0279824506014112,0.0196910422393103,1230,-1601,1240
"16","BUDAPEST",5,"Budapest VII. kerület",61501,2297,1499,65297,41923,3476,45399,69.53,45341,416,0.92,44925,321,44928,16687,3171,NA,20598,3055,0,NA,1414,NA,0,0.371441291040623,0.0705843071786311,NA,0.458497495826377,0.0680022259321091,0,NA,0.0314746800222593,NA,0,16635,4773,7295,4247,5676,3303,857,1802,NA,340,0.370259081196581,0.106236645299145,0.162370904558405,0.0945290242165242,0.12633547008547,0.0735176282051282,0.0190749643874644,0.0401086182336182,NA,0.00756766381766382,"Dr. Bajkai István","Stummer János",NA,"Dr. Oláh Lajos","Moldován László","Soproni Tamás",NA,"Döme Zsuzsanna",NA,NA,"DK_egy",0.681663712785158,0.475827991452991,0.526499721758486,21378,23653,0.00118220984404205,-0.0356523381205142,0.050671730305495,52,-1602,2275
"17","BUDAPEST",6,"Budapest VIII. kerület",68907,2259,1039,72205,43814,3036,46850,64.88,46806,350,0.75,46456,315,46234,18818,6001,NA,14947,2582,1190,1454,1065,NA,399,0.405071465472705,0.129175994489409,NA,0.321745307387636,0.0555794730497675,0.025615636301016,0.0312984329257792,0.0229249182021698,NA,0.00858877217151714,17929,6234,6964,4315,4858,2969,822,1610,NA,533,0.387788207812432,0.13483583509971,0.15062508110914,0.0933295842886188,0.10507418782714,0.064216810139724,0.017779123588701,0.0348228576372367,NA,0.0115283124972964,"Kocsis Máté","Dúró Dóra",NA,"Ara-Kovács Attila","Jakabfy Tamás","Dr. Cseh Katalin","Baranyi Krisztina","Racskó Gábor",NA,NA,"FIDESZ_egy",0.635842512371747,0.431024786953324,0.434238849664198,19928,20173,0.0172832576602729,-0.00565984061030084,0.00321406271087393,889,-233,245
"18","BUDAPEST",7,"Budapest XIII. kerület",77006,2253,1522,80781,56177,3477,59654,73.85,59520,359,0.6,59161,262,59170,16854,3591,33412,NA,2447,1520,NA,1337,NA,0,0.284883622656818,0.0606987711499129,0.564763949223306,NA,0.0413617078818816,0.0256926015449367,NA,0.022599347543145,NA,0,18394,6460,14024,5588,7058,4185,1156,1800,NA,505,0.310866993408822,0.10917694777759,0.237011999323982,0.0944397498732466,0.119283420652358,0.070728409667061,0.0195369274970424,0.0304208213621768,NA,0.00853473043772182,"Harrach Tamás","Magvasi Adrián","Hiszékeny Dezsõ",NA,"Kerékgyártó István","Hajnal Miklós",NA,"Sebõ Ferenc",NA,NA,"MSZP_egy",0.729514583279225,0.541000507013689,0.631818258650124,32011,37379,-0.0259833707520042,-0.048478176627677,0.0908177516364349,-1540,-2869,5368
"19","BUDAPEST",8,"Budapest XIV. kerület",74468,1836,1250,77554,56398,2858,59256,76.41,59176,452,0.76,58724,454,58667,20588,4492,27736,NA,2410,1771,NA,1518,NA,209,0.350589196921191,0.0764934268782781,0.472311150466589,NA,0.0410394387303317,0.0301580273823309,NA,0.0258497377562836,NA,0.00355902186499557,20851,6299,14417,4314,6070,3584,781,1810,NA,541,0.355412753336629,0.10736870813234,0.245742921915216,0.0735336731041301,0.103465321219766,0.0610905619854433,0.0133124243612252,0.0308520974312646,NA,0.00922153851398572,"Dr. Jelen Tamás","Szávay István","Tóth Csaba",NA,"Barta János","Szücs Attila",NA,"Victora Zsolt",NA,NA,"MSZP_egy",0.757345436966214,0.497144902585781,0.543508616579252,29166,31917,-0.00482355641543808,-0.0308752812540621,0.0463637139934713,-263,-1807,2751
"20","BUDAPEST",9,"Budapest X. kerület",74430,1588,728,76746,52278,2120,54398,70.88,54330,354,0.65,53976,375,53878,21222,5437,22010,NA,3522,1139,NA,NA,NA,646,0.393174744330814,0.100729954053653,0.407773825403883,NA,0.0652512227656736,0.0211019712464799,NA,NA,NA,0.0119682821994961,20572,8165,10327,4676,5288,2330,559,1332,NA,629,0.381825605998738,0.151546085600802,0.191673781506366,0.0867886707004714,0.0981476669512603,0.0432458517391143,0.0103752923271094,0.0247225212517168,NA,0.0116745239244218,"Dr. György István","Tubák István","Burány Sándor",NA,"Demeter Márta","Tölcsér Borbála",NA,NA,NA,NA,"MSZP_egy",0.702378073357517,0.430231263224322,0.494127019416037,23180,26671,0.0113491383320758,-0.0508161315471483,0.0638957561917152,650,-2728,3491
